,id,original_title,title,original_language,overview,release_date,popularity,vote_count,vote_average,runtime,adult,genre_names
188,11357,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,en,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path.",1988-10-21,68.198,1311,6.1,88,FALSE,"Horror, Thriller"
189,91586,Insidious: Chapter 2,Insidious: Chapter 2,en,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,2013-09-12,68.172,3528,6.7,106,FALSE,"Horror, Thriller"
190,4232,Scream,Scream,en,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they try to survive a real-life one.",1996-12-20,67.783,5318,7.4,112,FALSE,"Crime, Horror, Mystery"
191,715658,The Scientist,The Scientist,en,"An unconventional scientist, struggling to care for his terminally-ill wife, embarks on a journey to develop a cure for her. However, his methods of treatment and tampering with human DNA, could lead to the extinction of humanity.",2020-09-21,67.702,99,6.2,94,FALSE,"Drama, Horror"
192,37169,The Human Centipede (First Sequence),The Human Centipede (First Sequence),en,"During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon who explains his mad scientific vision to his captives' utter horror. They are to be the subjects of his sick lifetime fantasy: to be the first to connect people, one to the next, and in doing so bring to life ""the human centipede.""",2009-04-26,67.63,1772,5.2,92,FALSE,Horror
193,52520,Underworld: Awakening,Underworld: Awakening,en,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",2012-01-19,67.467,3573,6.3,88,FALSE,"Action, Fantasy, Horror"
194,9286,Final Destination 3,Final Destination 3,en,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",2006-02-09,67.459,3174,6.1,93,FALSE,"Horror, Mystery"
195,602734,Spiral: From the Book of Saw,Spiral: From the Book of Saw,en,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",2021-05-12,67.251,1362,6.1,93,FALSE,"Crime, Horror, Mystery"
196,591275,Fear Street: 1666,Fear Street: 1666,en,"In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late.",2021-07-14,66.278,1251,7.3,114,FALSE,"Horror, Mystery"
197,273477,Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,en,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",2015-10-23,66.029,1580,6.5,93,FALSE,"Comedy, Horror"
198,670429,Witch Hunt,Witch Hunt,en,"In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices as she helps two young witches avoid law enforcement and cross the southern border to asylum in Mexico.",2021-10-01,65.909,210,6.9,92,FALSE,"Drama, Fantasy, Horror, Thriller"
199,295830,進撃の巨人 ATTACK ON TITAN,Attack on Titan,ja,"100 years ago, titans suddenly appeared on Earth. Soon, human civilization veered on collapse due to the titans. Humans then built a giant wall to defend themselves. Within the giant walls, humans lived in peace, but, 100 years later, the giant wall is broken.",2015-08-01,65.388,586,5.9,98,FALSE,"Action, Fantasy, Horror, Science Fiction"
200,82507,Sinister,Sinister,en,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.",2012-03-29,65.319,4563,6.8,110,FALSE,"Horror, Mystery, Thriller"
201,19908,Zombieland,Zombieland,en,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",2009-10-07,65.001,10704,7.3,88,FALSE,"Comedy, Horror"
202,442062,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,en,"Two boys face an onslaught from witches, monsters, ghouls and a talking dummy after they discover a mysterious book by author R. L. Stine.",2018-10-11,64.989,1234,6.1,90,FALSE,"Adventure, Comedy, Family, Fantasy, Horror"
203,720026,Butchers,Butchers,en,"A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat.",2020-10-15,64.786,152,5,93,FALSE,Horror
204,926980,Das Privileg - Die Auserwählten,The Privilege,de,A wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events.,2022-02-09,64.231,179,5.1,107,FALSE,Horror
205,9358,Final Destination 2,Final Destination 2,en,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",2003-01-31,64.18,3321,6.2,90,FALSE,"Horror, Mystery"
206,647302,Benny Loves You,Benny Loves You,en,"Jack, a man desperate to improve his life, throws away his beloved childhood plush, Benny. It’s a move that has disastrous consequences when Benny springs to life with deadly intentions!",2019-11-21,63.524,139,6.2,94,FALSE,"Comedy, Horror"
207,460019,Truth or Dare,Truth or Dare,en,"A harmless game of ""Truth or Dare"" among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare.",2018-04-12,63.521,3562,6,101,FALSE,"Horror, Thriller"
208,447332,A Quiet Place,A Quiet Place,en,A family is forced to live in silence while hiding from creatures that hunt by sound.,2018-04-03,63.493,12032,7.4,91,FALSE,"Drama, Horror, Science Fiction"
209,694,The Shining,The Shining,en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",1980-05-23,63.472,14911,8.2,144,FALSE,"Horror, Thriller"
210,346672,Underworld: Blood Wars,Underworld: Blood Wars,en,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",2016-11-24,63.45,3221,5.8,91,FALSE,"Action, Fantasy, Horror, Thriller"
211,9003,Hellraiser,Hellraiser,en,"When he tinkers with a box he bought while abroad, sexual deviant Frank inadvertently opens a portal to hell, where fetish-demons led by Pinhead tear his body apart. When Frank’s brother and his wife move into his house, a skeletal Frank appears to his sister-in-law and asks her to supply him with corpses for his regeneration.",1987-09-11,63.431,1933,6.9,93,FALSE,"Fantasy, Horror"
212,10066,House of Wax,House of Wax,en,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,2005-04-30,63.255,2505,5.9,113,FALSE,"Horror, Thriller"
213,397243,The Autopsy of Jane Doe,The Autopsy of Jane Doe,en,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",2016-12-21,63.234,3423,6.7,86,FALSE,"Horror, Mystery"
214,581392,반도,Peninsula,ko,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,2020-07-15,62.868,1971,6.8,116,FALSE,"Action, Horror, Thriller"
215,9792,The Hills Have Eyes,The Hills Have Eyes,en,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",2006-03-10,62.574,2447,6.4,107,FALSE,"Horror, Thriller"
216,565028,Candyman,Candyman,en,"Anthony and his partner move into a loft in the now gentrified Cabrini-Green. After a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence.",2021-08-25,62.465,1108,6.1,91,FALSE,"Horror, Mystery, Thriller"
217,793002,Dreamcatcher,Dreamcatcher,en,"The film centers on two estranged sisters who, along with their friends, become entrenched in a 48 hour whirlwind of violence after a traumatic experience at an underground music festival.",2021-03-05,62.464,93,6,90,FALSE,"Horror, Mystery, Thriller"
218,11284,Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare,en,"Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.",1991-09-05,61.784,1029,5.3,89,FALSE,"Horror, Thriller"
219,13207,Friday the 13th,Friday the 13th,en,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,2009-02-11,61.753,2106,5.8,97,FALSE,Horror
